organization,category,contact_type,contact_value,source_url,note
교육부,정부기관/시도교육청,web,접속확인필요,https://www.moe.go.kr,fetch_failed
서울특별시교육청,정부기관/시도교육청,web,홈페이지,https://www.sen.go.kr,homepage_only
부산광역시교육청,정부기관/시도교육청,web,홈페이지,https://www.pen.go.kr,homepage_only
대구광역시교육청,정부기관/시도교육청,web,홈페이지,https://www.dge.go.kr,homepage_only
인천광역시교육청,정부기관/시도교육청,web,홈페이지,https://www.ice.go.kr,homepage_only
광주광역시교육청,정부기관/시도교육청,web,홈페이지,https://www.gen.go.kr,homepage_only
대전광역시교육청,정부기관/시도교육청,web,홈페이지,https://www.dje.go.kr,homepage_only
울산광역시교육청,정부기관/시도교육청,web,접속확인필요,https://www.use.go.kr,fetch_failed
세종특별자치시교육청,정부기관/시도교육청,web,홈페이지,https://www.sje.go.kr,homepage_only
경기도교육청,정부기관/시도교육청,web,접속확인필요,https://www.goe.go.kr,fetch_failed
강원특별자치도교육청,정부기관/시도교육청,web,홈페이지,https://www.gwe.go.kr,homepage_only
충청북도교육청,정부기관/시도교육청,web,홈페이지,https://www.cbe.go.kr,homepage_only
충청남도교육청,정부기관/시도교육청,web,홈페이지,https://www.cne.go.kr,homepage_only
전북특별자치도교육청,정부기관/시도교육청,email,earthjy@korea.kr,https://www.jbe.go.kr/index.jbe,homepage_email
전라남도교육청,정부기관/시도교육청,web,홈페이지,https://www.jne.go.kr,homepage_only
경상북도교육청,정부기관/시도교육청,web,접속확인필요,https://www.gbe.kr,fetch_failed
경상남도교육청,정부기관/시도교육청,web,홈페이지,https://www.gne.go.kr,homepage_only
제주특별자치도교육청,정부기관/시도교육청,email,teentalk.manager@gmail.com,http://teentalk.or.kr/contact/introduce.php,contact_page_email
