organization,category,contact_type,contact_value,source_url,note,verification_status
삼성전자,제조/전자/산업,web,,,site_not_found,failed
삼성SDS,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
삼성SDI,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
삼성전기,제조/전자/산업,web,,,site_not_found,failed
삼성디스플레이,제조/전자/산업,web,,,site_not_found,failed
삼성바이오로직스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
삼성물산,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
삼성중공업,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
삼성생명,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
삼성화재,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LG전자,제조/전자/산업,web,,,site_not_found,failed
LG디스플레이,제조/전자/산업,web,,,site_not_found,failed
LG이노텍,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LG화학,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LG에너지솔루션,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LG유플러스,통신,web,,,site_not_found,failed
LG CNS,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LG헬로비전,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LS ELECTRIC,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LS전선,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
LS엠트론,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
SK텔레콤,통신,web,,,site_not_found,failed
SK브로드밴드,통신,web,,,site_not_found,failed
SK하이닉스,제조/전자/산업,web,,,site_not_found,failed
SK C&C,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
SK스퀘어,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
SK네트웍스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
SK에코플랜트,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
SK쉴더스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
KT,통신,web,,,site_not_found,failed
KT DS,통신,web,,,site_not_found,failed
KTis,통신,web,,,site_not_found,failed
KTcs,통신,web,,,site_not_found,failed
현대자동차,제조/전자/산업,web,,,site_not_found,failed
기아,제조/전자/산업,web,,,site_not_found,failed
현대모비스,제조/전자/산업,web,,,site_not_found,failed
현대오토에버,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
현대글로비스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
현대제철,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
현대건설,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
현대엔지니어링,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
포스코홀딩스,제조/전자/산업,web,,,site_not_found,failed
포스코DX,제조/전자/산업,web,,,site_not_found,failed
포스코인터내셔널,제조/전자/산업,web,,,site_not_found,failed
포스코퓨처엠,제조/전자/산업,web,,,site_not_found,failed
한화시스템,제조/전자/산업,web,,,site_not_found,failed
한화에어로스페이스,제조/전자/산업,web,,,site_not_found,failed
한화솔루션,제조/전자/산업,web,,,site_not_found,failed
한화생명,제조/전자/산업,web,,,site_not_found,failed
효성,제조/전자/산업,web,,,site_not_found,failed
효성티앤씨,제조/전자/산업,web,,,site_not_found,failed
효성첨단소재,제조/전자/산업,web,,,site_not_found,failed
효성중공업,제조/전자/산업,web,,,site_not_found,failed
코오롱인더스트리,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
두산에너빌리티,제조/전자/산업,web,,,site_not_found,failed
두산로보틱스,제조/전자/산업,web,,,site_not_found,failed
두산밥캣,제조/전자/산업,web,,,site_not_found,failed
대한항공,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
아시아나항공,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
대한전선,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
대한전기,제조/전자/산업,web,,,site_not_found,failed
롯데정보통신,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
롯데이노베이트,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
롯데케미칼,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
롯데쇼핑,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
신세계I&C,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
CJ올리브네트웍스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
CJ대한통운,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
CJ제일제당,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
네이버,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
카카오,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
카카오엔터프라이즈,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
카카오모빌리티,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
라인플러스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
NHN,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
NHN클라우드,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
네오위즈,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
넥슨코리아,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
엔씨소프트,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
크래프톤,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
펄어비스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
데브시스터즈,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
위메이드,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
컴투스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
스마일게이트,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
더존비즈온,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
안랩,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
한글과컴퓨터,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
알서포트,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
가비아,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
인프라웨어,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
비트컴퓨터,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
솔트룩스,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
코난테크놀로지,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
뷰노,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
루닛,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
업스테이지,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
리벨리온,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
퓨리오사AI,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
원티드랩,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
사람인,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
잡코리아,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
쿠팡,IT/플랫폼/소프트웨어,web,,,site_not_found,failed
